,querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count
20,Infinix hot 10,Flipkart,"Infinix Hot 11S (Polar Black, 64 GB)",10999.0,4.3,50301.0,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/k/r/a/hot-11s-x6812-64-4-infinix-original-imag6xq6wa6ptgex.jpeg?q=70,/infinix-hot-11s-polar-black-64-gb/p/itmb8753dc90027c?pid=MOBG6HS6WWJR2HZB&lid=LSTMOBG6HS6WWJR2HZBW7UGPA&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_45&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBG6HS6WWJR2HZB.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,"5,311"
40,Infinix hot 10,Flipkart,"Infinix Hot 10S (7° Purple, 64 GB)",10999.0,4.3,50865.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/u/f/n/hot-10s-x689-64-6-infinix-original-imag4fk6h5dfztv3.jpeg?q=70,/infinix-hot-10s-7-purple-64-gb/p/itm3a70709f4ec55?pid=MOBG2T89MHNTUSUF&lid=LSTMOBG2T89MHNTUSUFSOVOS7&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_65&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89MHNTUSUF.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"4,697"
52,Infinix hot 10,Flipkart,"Infinix Hot S3 (Sandstone Black, 32 GB)",9999.0,4.2,52333.0,https://rukminim1.flixcart.com/image/312/312/jd4u5jk0/mobile/k/d/b/infinix-hot-s3-x573-original-imaf23zgnpcnagav.jpeg?q=70,/infinix-hot-s3-sandstone-black-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTC5PCHKDB&lid=LSTMOBF22VTC5PCHKDBJK9REU&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_77&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBF22VTC5PCHKDB.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"11,697"
39,Infinix hot 10,Flipkart,"Infinix Hot 10S (Heart Of Ocean, 64 GB)",9999.0,4.3,77596.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/v/u/i/hot-10s-x689-64-4-infinix-original-imag4fk5rzthabhs.jpeg?q=70,/infinix-hot-10s-heart-ocean-64-gb/p/itma5269c82af950?pid=MOBG2T89EFYGVUUV&lid=LSTMOBG2T89EFYGVUUVVMRG94&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_64&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89EFYGVUUV.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"6,690"
51,Infinix hot 10,Flipkart,"Infinix Hot S3 (Blush Gold, 32 GB)",9999.0,4.2,52333.0,https://rukminim1.flixcart.com/image/312/312/jd4u5jk0/mobile/8/g/g/infinix-hot-s3-x573-original-imaf23zgcy3y2srz.jpeg?q=70,/infinix-hot-s3-blush-gold-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTWZVGR8GG&lid=LSTMOBF22VTWZVGR8GGHZPOBX&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_4_76&otracker=search&fm=organic&iid=bca98cb9-3fe2-4d42-8687-f365dbbdeac7.MOBF22VTWZVGR8GG.SEARCH&ppt=None&ppn=None&ssid=d4eq6uvbdc0000001684913022343&qH=61826dc846cb4ab4,"11,697"
27,Infinix hot 10,Flipkart,"Infinix Hot 10S (Morandi Green, 64 GB)",9999.0,4.3,77596.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/0/5/v/hot-10s-x689-64-4-infinix-original-imag4fk5fgqujb8a.jpeg?q=70,/infinix-hot-10s-morandi-green-64-gb/p/itma5269c82af950?pid=MOBG2T89QGY6PKBY&lid=LSTMOBG2T89QGY6PKBYD8ISQ2&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_52&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89QGY6PKBY.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"6,690"
28,Infinix hot 10,Flipkart,"Infinix Hot 10S (7° Purple, 64 GB)",9999.0,4.3,77596.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/u/f/n/hot-10s-x689-64-6-infinix-original-imag4fk6h5dfztv3.jpeg?q=70,/infinix-hot-10s-7-purple-64-gb/p/itma5269c82af950?pid=MOBG2T89PNT8KPW7&lid=LSTMOBG2T89PNT8KPW7UQH8IS&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_53&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89PNT8KPW7.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"6,690"
29,Infinix hot 10,Flipkart,"Infinix Hot 10S (95° Black, 64 GB)",9999.0,4.3,77596.0,https://rukminim1.flixcart.com/image/312/312/kqfj1jk0/mobile/h/l/d/hot-10s-x689-64-4-infinix-original-imag4fk5ajmdtwz4.jpeg?q=70,/infinix-hot-10s-95-black-64-gb/p/itma5269c82af950?pid=MOBG2T89FWZNKTVW&lid=LSTMOBG2T89FWZNKTVWBAYS9P&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_3_54&otracker=search&fm=organic&iid=045c1568-62f0-499d-96c2-5de05afe90f5.MOBG2T89FWZNKTVW.SEARCH&ppt=None&ppn=None&ssid=rsnd6jjd400000001684913022382&qH=61826dc846cb4ab4,"6,690"
14,Infinix hot 10,Flipkart,"Infinix Hot 11 (Silver Wave, 64 GB)",9999.0,4.3,16373.0,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/j/1/w/hot-11-x662-64-4-infinix-original-imag6xprhpuqsbhe.jpeg?q=70,/infinix-hot-11-silver-wave-64-gb/p/itmd3fa090280783?pid=MOBG6TKYQMHCSWDF&lid=LSTMOBG6TKYQMHCSWDFSXVAAQ&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_39&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBG6TKYQMHCSWDF.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,"1,384"
13,Infinix hot 10,Flipkart,"Infinix Hot 11 (Emerald Green, 64 GB)",9999.0,4.3,16373.0,https://rukminim1.flixcart.com/image/312/312/ktn9pjk0/mobile/6/8/c/hot-11-x662-64-4-infinix-original-imag6xpryfwzq5fm.jpeg?q=70,/infinix-hot-11-emerald-green-64-gb/p/itmd3fa090280783?pid=MOBG6TKYBG5M9AGS&lid=LSTMOBG6TKYBG5M9AGSAOU7Z1&marketplace=FLIPKART&q=Infinix+hot+10&store=tyy%2F4io&srno=s_2_38&otracker=search&fm=organic&iid=815df493-7284-4a01-9a92-b1d6c6b92d42.MOBG6TKYBG5M9AGS.SEARCH&ppt=None&ppn=None&ssid=jt7uzxd85s0000001684913022377&qH=61826dc846cb4ab4,"1,384"
